map_id,participant,agent_type,distance,duration,speed,angle,num_cars,distractors,accumulated_head_turns,end_x,end_z,end_to_target_dist,estimate_correct,estimate_to_target_dist,idx
M0127,p11,human,0.23098525758555163,1.534,0.1505770909944926,side,7,0,108.67492294311523,35.94397735595703,8.084137916564941,4.451991899882648,1,0.48432886474008296,156
M0127,p12,human,1.1112657238176082,3.631,0.30604949705800283,side,7,0,133.73335647583008,34.82406234741211,8.781543731689453,4.204736753713497,1,0.2403641162987912,16
M0127,agent_1,agent,0.0,3.0534351145038165,0.0,side,7,0,60.00000000000006,35.833333333333336,8.285714285714286,4.282158501266896,1,1.035714558193443,138
M0127,agent_2,agent,0.0,3.8167938931297707,0.0,side,7,0,90.00000000000006,35.833333333333336,8.285714285714286,4.282158501266896,1,2.0714282989505857,138
M0127,agent_3,agent,0.0,3.0534351145038165,0.0,side,7,0,60.00000000000006,35.833333333333336,8.285714285714286,4.282158501266896,1,1.035714558193443,138
M0127,agent_4,agent,0.0,3.0534351145038165,0.0,side,7,0,60.00000000000006,35.833333333333336,8.285714285714286,4.282158501266896,1,1.035714558193443,138
M0127,agent_5,agent,0.0,3.0534351145038165,0.0,side,7,0,60.00000000000006,35.833333333333336,8.285714285714286,4.282158501266896,1,1.035714558193443,138
M0127,agent_6,agent,0.0,3.0534351145038165,0.0,side,7,0,60.00000000000006,35.833333333333336,8.285714285714286,4.282158501266896,1,1.035714558193443,138
M0127,agent_7,agent,0.0,3.0534351145038165,0.0,side,7,0,60.00000000000006,35.833333333333336,8.285714285714286,4.282158501266896,1,1.035714558193443,138
M0127,agent_8,agent,0.0,3.0534351145038165,0.0,side,7,0,60.00000000000006,35.833333333333336,8.285714285714286,4.282158501266896,1,1.035714558193443,138
M0127,agent_9,agent,0.0,3.0534351145038165,0.0,side,7,0,60.00000000000006,35.833333333333336,8.285714285714286,4.282158501266896,1,1.035714558193443,138
M0127,agent_10,agent,0.0,3.0534351145038165,0.0,side,7,0,60.00000000000006,35.833333333333336,8.285714285714286,4.282158501266896,1,1.035714558193443,138
M0127,agent_11,agent,0.0,3.8167938931297707,0.0,side,7,0,90.00000000000006,35.833333333333336,8.285714285714286,4.282158501266896,1,1.4987723350209268,138
M0127,agent_12,agent,0.0,3.0534351145038165,0.0,side,7,0,60.00000000000006,35.833333333333336,8.285714285714286,4.282158501266896,1,1.035714558193443,138
M0128,p01,human,0.15841750422374226,1.635,0.0968914398921971,side,7,0,181.55943298339844,37.00611877441406,-1.946479320526123,6.690891380270507,1,1.2733391521123063,156
M0128,p02,human,0.5288645153223549,2.055,0.2573549952906836,side,7,0,94.69233703613281,36.39120101928711,-2.1215381622314453,6.055285713867255,1,0.489526398207775,119
M0128,p03,human,0.6662284187391744,2.47,0.26972810475270215,side,7,0,128.59396362304688,36.40034484863281,-1.650347352027893,6.158462919931739,1,0.8995404352585056,42
M0128,p04,human,0.26411789022072074,2.083,0.1267968748059149,side,7,0,94.71336364746094,36.676734924316406,-1.9625976085662842,6.363838977574291,1,1.5384623189379776,31
M0128,p05,human,0.29972487822399224,1.753,0.1709782534078678,side,7,0,88.16334533691406,36.78691482543945,-1.8023998737335205,6.502493685890892,1,0.583065218702187,130
M0128,p06,human,0.0938958608435184,1.085,0.08653996391107688,side,7,0,87.48822021484375,36.827945709228516,-2.0450751781463623,6.498653323067811,1,0.9626183126848024,72
M0128,p07,human,0.09051900037274421,1.757,0.051519066802927845,side,7,0,96.41441345214844,36.952186584472656,-1.987619161605835,6.630713563695419,1,0.44674038188117937,52
M0128,p08,human,0.5287178183577261,1.747,0.3026432846924591,side,7,0,82.13246154785156,36.38551712036133,-2.1143081188201904,6.050859796858662,1,0.9604110600177158,197
M0128,p09,human,0.21936157732314296,1.891,0.11600294940409464,side,7,0,82.08486938476562,36.72797775268555,-1.9620976448059082,6.414342081932338,1,0.6244512471096952,168
M0128,p10,human,0.7531289823248969,3.18,0.23683301330971598,side,7,0,101.61160278320312,36.16363525390625,-2.138347625732422,5.828054528121616,1,0.45540226675199463,123
M0128,p11,human,0.04632566508263647,1.888,0.02453689887851508,side,7,0,97.19795227050781,36.906402587890625,-2.026224136352539,6.579138698003669,1,1.437733351193373,114
M0128,p12,human,0.3242761515559763,1.879,0.17257911205746476,side,7,0,177.9419708251953,36.63641357421875,-1.914785623550415,6.333006824389761,1,1.0233249558481752,223
M0128,agent_1,agent,0.0,3.0534351145038165,0.0,side,7,0,60.0,36.916666666666664,-2.0714285714285694,6.58199912548728,1,2.16666603088379,154
M0128,agent_2,agent,0.0,3.0534351145038165,0.0,side,7,0,60.0,36.916666666666664,-2.0714285714285694,6.58199912548728,1,6.394217297418212e-07,154
M0128,agent_3,agent,0.0,3.0534351145038165,0.0,side,7,0,60.0,36.916666666666664,-2.0714285714285694,6.58199912548728,1,6.394217297418212e-07,154
M0128,agent_4,agent,0.0,3.0534351145038165,0.0,side,7,0,60.0,36.916666666666664,-2.0714285714285694,6.58199912548728,1,1.4987707209942889,154
M0128,agent_5,agent,0.0,3.0534351145038165,0.0,side,7,0,60.0,36.916666666666664,-2.0714285714285694,6.58199912548728,1,6.394217297418212e-07,154
M0128,agent_6,agent,0.0,3.0534351145038165,0.0,side,7,0,60.0,36.916666666666664,-2.0714285714285694,6.58199912548728,1,1.03571421759489,154
M0128,agent_7,agent,0.0,3.0534351145038165,0.0,side,7,0,60.0,36.916666666666664,-2.0714285714285694,6.58199912548728,1,1.0833326975504591,154
M0128,agent_8,agent,0.0,3.0534351145038165,0.0,side,7,0,60.0,36.916666666666664,-2.0714285714285694,6.58199912548728,1,1.0833326975504591,154
M0128,agent_9,agent,0.0,3.0534351145038165,0.0,side,7,0,60.0,36.916666666666664,-2.0714285714285694,6.58199912548728,1,6.394217297418212e-07,154
